央视频道,#genre#
东莞生活资讯,http://113.95.138.226:8888/rtp/239.253.43.105:5146$1920×1080
佛山综合,http://113.95.138.226:8888/rtp/239.253.43.57:5146$1920×1080
佛山南海,http://113.95.138.226:8888/rtp/239.253.43.54:5146$1920×1080
佛山城市生活,http://113.95.138.226:8888/rtp/239.253.43.53:5146$1920×1080
佛山顺德,http://113.95.138.226:8888/rtp/239.253.43.55:5146$1920×1080
江门综合,http://113.95.138.226:8888/rtp/239.77.0.201:5146$1920×1080
南方购物,http://113.95.138.226:8888/rtp/239.77.0.19:5146$1920×1080
南方购物,http://113.95.138.226:8888/rtp/239.77.0.22:5146$1920×1080
汕头综合,http://113.95.138.226:8888/rtp/239.253.43.45:5146$1920×1080
汕头综合,http://113.95.138.226:8888/rtp/239.77.1.130:5146$1920×1080
汕头经济生活,http://113.95.138.226:8888/rtp/239.77.1.131:5146$1920×1080
汕头经济生活,http://113.95.138.226:8888/rtp/239.253.43.46:5146$1920×1080
汕尾新闻综合,http://113.95.138.226:8888/rtp/239.77.0.25:5146$1920×1080
汕尾文化生活,http://113.95.138.226:8888/rtp/239.77.0.187:5146$1920×1080
揭阳综合,http://113.95.138.226:8888/rtp/239.77.0.229:5146$1920×1080
揭阳生活,http://113.95.138.226:8888/rtp/239.77.0.251:5146$1920×1080
潮州综合,http://113.95.138.226:8888/rtp/239.253.43.70:5146$1920×1080
潮州民生,http://113.95.138.226:8888/rtp/239.253.43.75:5146$1920×1080
河源综合,http://113.95.138.226:8888/rtp/239.253.43.213:5146$1920×1080
河源生活,http://113.95.138.226:8888/rtp/239.253.43.214:5146$1920×1080
惠州1,http://113.95.138.226:8888/rtp/239.77.1.232:5146$1920×1080
惠州2,http://113.95.138.226:8888/rtp/239.77.1.233:5146$1920×1080
梅州综合,http://113.95.138.226:8888/rtp/239.253.43.123:5146$1920×1080
梅州客家生活,http://113.95.138.226:8888/rtp/239.253.43.124:5146$1920×1080
中山综合,http://113.95.138.226:8888/rtp/239.77.0.185:5146$1920×1080
中山综合,http://113.95.138.226:8888/rtp/239.253.43.62:5146$1920×1080
中山香山文化,http://113.95.138.226:8888/rtp/239.253.43.63:5146$1920×1080
云浮综合,http://113.95.138.226:8888/rtp/239.77.0.253:5146$1920×1080
云浮文旅,http://113.95.138.226:8888/rtp/239.77.0.254:5146$1920×1080
清远综合,http://113.95.138.226:8888/rtp/239.253.43.33:5146$1920×1080
湛江综合,http://113.95.138.226:8888/rtp/239.77.0.141:5146$1920×1080
湛江公共,http://113.95.138.226:8888/rtp/239.77.0.140:5146$1920×1080
肇庆生活服务,http://113.95.138.226:8888/rtp/239.253.43.2:5146$1920×1080
肇庆综合,http://113.95.138.226:8888/rtp/239.253.43.1:5146$1920×1080
珠海1,http://113.95.138.226:8888/rtp/239.77.0.155:5146$1920×1080
茂名综合,http://113.95.138.226:8888/rtp/239.77.0.206:5146$1920×1080
茂名文化生活,http://113.95.138.226:8888/rtp/239.77.0.207:5146$1920×1080
阳江1,http://113.95.138.226:8888/rtp/239.253.43.82:5146$1920×1080
阳江2,http://113.95.138.226:8888/rtp/239.253.43.83:5146$1920×1080
韶关综合,http://113.95.138.226:8888/rtp/239.77.0.117:5146$1920×1080
广东九画面,http://113.95.138.226:8888/rtp/239.77.1.234:5146$1920×1080
地方频道,#genre#
IPTV少儿动画,http://113.95.138.226:8888/rtp/239.77.1.91:5146$1920×1080
IPTV热播剧场,http://113.95.138.226:8888/rtp/239.77.1.90:5146$1920×1080
IPTV经典电影,http://113.95.138.226:8888/rtp/239.77.1.89:5146$1920×1080
IPTV魅力时尚,http://113.95.138.226:8888/rtp/239.77.1.88:5146$1920×1080
华数少儿动画,http://113.95.138.226:8888/rtp/239.77.0.109:5146$1920×1080
华数热播剧场,http://113.95.138.226:8888/rtp/239.77.0.106:5146$1920×1080
华数爱大剧1,http://113.95.138.226:8888/rtp/239.77.0.105:5146$1920×1080
华数爱大剧2,http://113.95.138.226:8888/rtp/239.77.0.110:5146$1920×1080
华数爱电影,http://113.95.138.226:8888/rtp/239.77.0.103:5146$1920×1080
华数爱电影,http://113.95.138.226:8888/rtp/239.77.1.138:5146$1920×1080
华数电视剧,http://113.95.138.226:8888/rtp/239.77.1.82:5146$1920×1080
华数谍战剧场,http://113.95.138.226:8888/rtp/239.77.1.83:5146$1920×1080
央视网CCTV3,http://113.95.138.226:8888/rtp/239.77.0.111:5146$1920×1080
央视网CCTV3,http://113.95.138.226:8888/rtp/239.77.1.78:5146$1920×1080
央视网CCTV3,http://113.95.138.226:8888/rtp/239.77.0.107:5146$1920×1080
央视网CCTV5,http://113.95.138.226:8888/rtp/239.77.0.176:5146$1920×1080
央视网CCTV5,http://113.95.138.226:8888/rtp/239.77.1.77:5146$1920×1080
央视网CCTV11,http://113.95.138.226:8888/rtp/239.77.0.100:5146$1920×1080
央视网CCTV12,http://113.95.138.226:8888/rtp/239.77.0.102:5146$1920×1080
爱体育,http://113.95.138.226:8888/rtp/239.77.1.116:5146$1920×1080
爱体育,http://113.95.138.226:8888/rtp/239.77.0.108:5146$1920×1080
求索记录,http://113.95.138.226:8888/rtp/239.77.0.21:5146$1920×1080
财富天下,http://113.95.138.226:8888/rtp/239.77.0.113:5146$720×576
IPTV谍战剧场,http://113.95.138.226:8888/rtp/239.77.0.99:5146$1920×1080
IPTV相声小品,http://113.95.138.226:8888/rtp/239.77.1.84:5146$1920×1080
IPTV野外,http://113.95.138.226:8888/rtp/239.77.0.101:5146$1920×1080
IPTV野外,http://113.95.138.226:8888/rtp/239.77.1.85:5146$1920×1080
IPTV法治,http://113.95.138.226:8888/rtp/239.77.1.86:5146$1920×1080
经典电影,http://113.95.138.226:8888/rtp/239.77.0.104:5146$1920×1080
