央视上海移动IPV6,#genre#
NewTV超级体育_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000009204/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009204&livemode=1&stbId=m
NewTV超级体育_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000009601/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009601&livemode=1&stbId=m
NewTV超级体育_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000004000007755/1.m3u8?channel-id=ystenlive&Contentid=1000000004000007755&livemode=1&stbId=m
NewTV超级综艺_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000025771/1.m3u8?channel-id=ystenlive&Contentid=1000000001000025771&livemode=1&stbId=m
NewTV超级综艺_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000004000023658/1.m3u8?channel-id=ystenlive&Contentid=1000000004000023658&livemode=1&stbId=m
NewTV超级综艺_8M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000006000268002/1.m3u8?channel-id=ystenlive&Contentid=1000000006000268002&livemode=1&stbId=m
NewTV潮妈辣婆_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/6516734029835465177/1.m3u8?channel-id=ystenlive&Contentid=6516734029835465177&livemode=1&stbId=m
NewTV东北热剧_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000005000266013/1.m3u8?channel-id=ystenlive&Contentid=1000000005000266013&livemode=1&stbId=m
NewTV动作电影_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000004000018653/1.m3u8?channel-id=ystenlive&Contentid=1000000004000018653&livemode=1&stbId=m
NewTV古装剧场_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/6859053933687922163/1.m3u8?channel-id=ystenlive&Contentid=6859053933687922163&livemode=1&stbId=m
